id,edges,name,type,clusteringCoefficient,betweennessCentrality,distanceToFurthestNode,degree
p1544217,"{7, m0410997, m22265, 716,  m0362359, m024708,  m2404435, m1139668,  m4659174, m0493439, m209560,  m1282140, m5667516, 5489, m2217895, m2573372, 90, m3701714,  9, 528, m08}","Gigandet, Cam",actor,0.380952380952,0.000570112407234,4.0,7.0
p3969329,"{5386, m127997, 33,  m2404435,  m3461828, 754, m4522400, m342, 4894, 46, m3410350, 0961,  1, 7104, 4,  5, 9, m2017109, 152493}","Doleac, Miles",director/actor,0.490909090909,0.00103230803988,4.0,11.0
p3290223,{},"Bethke, Todd",actor,0.879797979798,0.000875597466507,4.0,100.0
p4206690,"{ m17412,  m176423,   m1409008, 46, m19428, m235549, 2449, 9375, m235089, 096, 1,  m1830636, 3, m1853728, 735, m154, 2400, 04148, m1279972, 1677}","Warner, Glen",actor,1.0,0.0,4.0,5.0
p0430885,"{, 210, m078, m0167743,  43,  m0109021, m0275137, m0115238, m017576, 9006,  403, 4886, 66, 8, m0158552}","Joss, Jonathan",actor,0.0,0.0,1.0,0.0
p7239708,{},"Williams, Abigail",error,0.879797979798,0.000875597466507,4.0,100.0
p7706489,{},"Williams, Chase",actor,0.0,0.0,1.0,0.0
p0498093,{},"Lee, Ricky",actor,0.0,0.0,1.0,0.0
p2899381,{},"Lacasa, Derek",actor,0.879797979798,0.000875597466507,4.0,100.0
p5341176,{},"Raziano, Lisa",error,0.0,0.0,1.0,0.0
p0544391,{},"Manzanares, David",actor,0.879797979798,0.000875597466507,4.0,100.0
p7459789,{},"Lee, Derrick",actor,0.879797979798,0.000875597466507,4.0,100.0
p0919671,"{73, m240443}","Welch, Wally",actor,0.862574257426,0.00578137841395,4.0,101.0
p6915195,{},"Donald, Miles",actor,0.879797979798,0.000875597466507,4.0,100.0
p0496932,"{44, m0416080, 0991, 5, 4, m1583421, 9, 546,  81,   m52274, m0997157, m0923703, m5966750,  m175720, m0336678, 143, m1113186, m0286017, m0235452, m1821694, m1340138,  m34, 084,  m4914580, 4798}","Lee, Byung-hun",actor,0.846049310813,0.00914308647409,4.0,102.0
p0853566,"{ , 22, m3203606, 480936, m26,  44, m4104354, 084,  3, 5, 156, 6, m1230168, 90, 4}","Jr., John Teal",actor,0.333333333333,0.00157436990188,3.0,9.0
p5102780,"{m284,  m3203606,  m150271, m38611, 1098, 43, 404435, 34, m270779, 002, 3, m20939, 1520, 4, 6, 2, 138}","Rhodes, Gus",actor,0.879797979798,0.000875597466507,4.0,100.0
p7440224,{},"Grossman, Steven",actor,0.879797979798,0.000875597466507,4.0,100.0
p4512440,{},"Hounsell, Ray",director/actor,0.879797979798,0.000875597466507,4.0,100.0
p3240564,{},"Angelis, Alix",director,0.0,0.0,1.0,0.0
p7718809,{},"Loper, Gary Wayne",actor,0.879797979798,0.000875597466507,4.0,100.0
p7144573,{},"Louder, Robert",actor,0.879797979798,0.000875597466507,4.0,100.0
p3181865,"{ 454, 44,  31, m3922818, 5095, m404678, 77, 0, 2, 7}","Powers, Frank",director/actor,0.333333333333,7.55417422084e-05,4.0,3.0
p0093589,"{364817, m1915581,  m04202, 43, m2404435, m040959, 3, 5, 4,  m22680, m208757}","Bomer, Matt",actor,0.879797979798,0.000875597466507,4.0,100.0
p7633615,{},"Lemme, Heath",actor,0.879797979798,0.000875597466507,4.0,100.0
p0961185,"{, m10340, 42, m4151192, m0433309, m3513704, 87, 4204, m329733, 24, m3553442, m0903657, 8757, m4687906, 3690, m0286486, m3708886,  m2582782, m2404435, m4778586, m2084950, m0830361, m0409572,  m1274730, m0486766, m1039251, 6203, m0475784,  m12305, 6022, m1282147, 7884, m2657258,  m197795, m1836037, 062, m4136014, m3315386, 992, m2369492, m0770814, m0460690, m0368479, m0805669, m5611404, m5050332, 8552, m2611626, m4052590, m3597606, m0455275, m2224004, m45933, m093266, m1216499, 92543, m078332, 84, m1745959, m2209764, m0364845, m0278422, 6272, m1714204, m255749, m150737}","Kenin, Dylan",actor,0.815907393577,0.0212368408646,3.0,104.0
p0005406,"{40124, m2372888, 0042, m024708,  m045204, m0386998, m3631272, m0479289,  m5471472, 0961, m0118330, 310234, 7, 9, 932, 80, m0418, 18113}","Scott, William Lee",actor,0.733333333333,8.98091807183e-05,4.0,6.0
p7077538,{},"Macon, Stormy",error,0.0,0.0,1.0,0.0
p1752714,"{5053, m1307002, m0452033,  m5028002, m36776, m097615, m1543043, 0084, m5846628, 746700,  m5607782, m3517870, m6210,  m0431428, 8208, 8209, 325, 3919, m132380, 99, 121, m0961, m17916}","James, Clint",director/actor,0.832095945174,0.0061270737917,4.0,103.0
p0039327,"{m26306, 996, 5886, m2207006, m2362694, m4574724, m182152, m1510795, m4498596, m296325, 6573, m3849610, m3606968, m3693252, m2262394, m150981, m6243274, m452656, m3945858, m151708, 5419, m3638288,  m3409734, m2901750, 5, 84, 7, 0568, m1212450, m1216851, 9544, m270039, m554016, 918, m0772137, m3619070, m3517870, m5924426, m318780, m3315386, 754,  m191318, m4540868, 466, 670, 856, m5515410, 0084, m1997296, 0780, m5044656, m2017109, m371979, 92, m3834906, 4603, 79, m1647363, 1436, m3088306, m1379193, m3806962, 15, m3516878}","Ashworth, Mark",actor,0.722222222222,0.000136052219386,4.0,9.0
p4230755,"{m2404435,  46, 31, m1733, 455, 112403, 1, m184164, 2, 72, 7, m1583421, 9}","Rogers, Michael Patrick",director/actor,0.863168316832,0.00271444890472,4.0,101.0
p7152206,{},"Langlois, Dylan",actor,0.0,0.0,1.0,0.0
p5535622,{},"Pickard, Philip David",actor,0.879797979798,0.000875597466507,4.0,100.0
p0709555,{},"Randall, Chad",actor,0.879797979798,0.000875597466507,4.0,100.0
p4710092,{},"Wilson, Frank",actor,0.0,0.0,1.0,0.0
p4096851,"{, 1786, m25574, 080036, 3, 95}","Palmer, Martin",actor,0.666666666667,3.33000333e-05,4.0,3.0
p0692670,"{m0120146, m0097971, m008792, 106, m2069708, m010362, 5095, m348829, 3, 2, m240443, 7,  m0101878, 7470, m0092117, m1278469, m0804550,  m0104031, m0095384, 750, m04773, m020918, m0096639, m0113524, 6, 998, m1078577, m0112835, 245, m0088408, 9488, m0099134, 5467, 9483, m028999, m009993, m2183}","Posey, Matthew",director/actor,0.166666666667,0.000419630227323,4.0,4.0
